id,revenue
3001,43422139.74666667
3002,23030068.653333332
3003,34886616.96666667
3004,25908744.046666667
3005,20744278.72
3006,31707423.94
3007,34648137.346666664
3008,27726617.23
3009,35196404.92666667
3010,67982638.91
3011,32495271.653333332
3012,22459219.533333335
3013,39267249.18333333
3014,33777989.31333333
3015,43024411.26
3016,25224280.58
3017,49505901.34
3018,21558083.42
3019,24116380.813333333
3020,43796084.78333333
3021,34477396.39
3022,49032561.413333334
3023,23222352.76333333
3024,23472992.003333334
3025,23612901.706666667
3026,25780858.55
3027,24209566.343333334
3028,29275455.84
3029,53534207.38
3030,22614680.9
3031,36506028.53
3032,22707789.936666667
3033,31709399.783333335
3034,23164850.34
3035,35063804.20333333
3036,20861857.266666666
3037,51468464.57666667
3038,32789347.863333333
3039,31979917.05
3040,29389368.386666667
3041,35585241.31
3042,25519159.933333334
3043,72775490.26
3044,31612458.526666667
3045,45824754.72666667
3046,28415517.846666668
3047,27066645.066666666
3048,31526492.44
3049,49859543.18666667
3050,33589069.846666664
3051,23378833.036666665
3052,31612458.526666667
3053,27598651.433333334
3054,23119554.496666666
3055,32058709.71
3056,23338617.963333335
3057,29838761.316666666
3058,22291226.963333335
3059,22707789.936666667
3060,25410286.36
3061,38058364.7
3062,28448518.68
3063,24296004.383333333
3064,21178367.71
3065,42925469.343333334
3066,46532872.53666667
3067,25678123.12
3068,45436449.14
3069,37042855.01
3070,31612458.526666667
3071,25333056.786666665
3072,28966126.36
3073,31612458.526666667
3074,22469689.45
3075,36188342.49
3076,46125537.38666666
3077,24618811.683333334
3078,42779353.52333333
3079,34689934.34
3080,42063666.38333333
3081,23542707.833333332
3082,41885120.04333334
3083,25104942.51333333
3084,22296691.683333334
3085,42027723.593333334
3086,28472765.273333333
3087,25224280.58
3088,27638603.946666665
3089,22475573.53
3090,37166365.79666667
3091,29539457.37
3092,35845025.63
3093,33678631.53
3094,41066981.97
3095,34837781.22
3096,35550715.84
3097,69092079.42333333
3098,39606074.82
3099,22307167.243333332
3100,21906552.053333335
3101,27982559.063333333
3102,23135296.776666667
3103,27984632.756666668
3104,36883356.08
3105,25938321.033333335
3106,29030404.246666666
3107,22697144.783333335
3108,34224760.87
3109,33512584.01
3110,23260434.916666668
3111,21537908.886666667
3112,21697337.39666667
3113,40745281.77
3114,26083764.333333332
3115,21276641.863333333
3116,35684204.83
3117,35788566.74666667
3118,26063518.08
3119,28546385.636666667
3120,26819551.80666667
3121,31876642.3
3122,35426794.59
3123,26202052.94333333
3124,27638603.946666665
3125,37230425.78666667
3126,31331766.23666667
3127,35968709.50333333
3128,27437460.583333332
3129,65118454.82
3130,35662424.32333333
3131,24391771.433333334
3132,36760867.086666666
3133,28343382.11
3134,22843712.873333335
3135,30670324.18
3136,24276494.543333333
3137,28250315.776666667
3138,27984632.756666668
3139,22704993.026666667
3140,35592898.763333336
3141,26757302.04
3142,25987124.023333333
3143,35059553.39
3144,31875861.846666668
3145,31642624.65
3146,26944720.093333334
3147,28441314.76
3148,32224917.496666666
3149,32810756.85333333
3150,32424051.976666667
3151,24532612.766666666
3152,22255511.82
3153,34789894.19
3154,33384558.883333333
3155,31327297.356666666
3156,35640732.553333335
3157,42291441.93
3158,34271772.35
3159,23442738.74
3160,34075150.45666666
3161,22707789.936666667
3162,23066292.46
3163,51096461.0
